organisation,dataset_id,dataset_name,date_created,last_updated,description,frequency,coverage_start,coverage_end,resource_id,resource_name,resource_description,resource_format
Ministry of Trade and Industry - Department of Statistics,2b5c201c-0b50-4660-9653-25c44b7b5b4f,"Singapore Residents by Planning Area, Age Group and Sex, June 2007 (Female)",09/12/2016,09/12/2016,"Distribution of the resident population (Female) by planning area based on URA MP08, age group and sex, June 2007",Adhoc,na,na,7858722f-5eaf-4c89-9847-0b6d8e326eb4,"Singapore Residents by Planning Area, Age Group and Sex, June 2007 (Female) (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,64053a80-4bdf-46b9-9c74-8bd1a0431d34,"Singapore Residents by Planning Area, Age Group and Sex, June 2007 (Gender)",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP08, age group and sex, June 2007",Adhoc,na,na,6313c24f-806f-4a00-9c27-d88448ef7612,"Singapore Residents by Planning Area, Age Group and Sex, June 2007 (Gender) (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,64053a80-4bdf-46b9-9c74-8bd1a0431d34,"Singapore Residents by Planning Area, Age Group and Sex, June 2007 (Gender)",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP08, age group and sex, June 2007",Adhoc,na,na,b000f749-40b9-46d4-a531-d808cdbfbcca,"Singapore Residents by Planning Area, Age Group and Sex, June 2007 (Gender) (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,caa40f94-c38b-4479-977c-7f9621b61333,"Singapore Residents by Planning Area, Age Group and Sex, June 2008 (Female)",09/12/2016,09/12/2016,"Distribution of the resident population (Female) by planning area based on URA MP08, age group and sex, June 2008",Adhoc,na,na,cfbdc28d-8ca5-4337-9694-e92863c47471,"Singapore Residents by Planning Area, Age Group and Sex, June 2008 (Female) (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,caa40f94-c38b-4479-977c-7f9621b61333,"Singapore Residents by Planning Area, Age Group and Sex, June 2008 (Female)",09/12/2016,09/12/2016,"Distribution of the resident population (Female) by planning area based on URA MP08, age group and sex, June 2008",Adhoc,na,na,62059423-db6c-407e-b7fb-596feb5f5a8b,"Singapore Residents by Planning Area, Age Group and Sex, June 2008 (Female) (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,285c084b-9b0b-4123-b6cb-8f5c82e3a89b,"Singapore Residents by Planning Area, Age Group and Sex, June 2007 (Male)",09/12/2016,09/12/2016,"Distribution of the resident population (Male) by planning area based on URA MP08, age group and sex, June 2007",Adhoc,na,na,178e8fbb-180c-48bb-bf49-98ea6156776d,"Singapore Residents by Planning Area, Age Group and Sex, June 2007 (Male) (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,285c084b-9b0b-4123-b6cb-8f5c82e3a89b,"Singapore Residents by Planning Area, Age Group and Sex, June 2007 (Male)",09/12/2016,09/12/2016,"Distribution of the resident population (Male) by planning area based on URA MP08, age group and sex, June 2007",Adhoc,na,na,61286807-2b25-4157-a243-04d8309248b3,"Singapore Residents by Planning Area, Age Group and Sex, June 2007 (Male) (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,356f98d5-d085-4fd4-858c-f7963eca3559,"Singapore Residents by Planning Area, Age Group and Sex, June 2008 (Gender)",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP08, age group and sex, June 2008",Adhoc,na,na,e930f02d-5566-4b28-930e-d95846904b46,"Singapore Residents by Planning Area, Age Group and Sex, June 2008 (Gender) (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,356f98d5-d085-4fd4-858c-f7963eca3559,"Singapore Residents by Planning Area, Age Group and Sex, June 2008 (Gender)",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP08, age group and sex, June 2008",Adhoc,na,na,4ea9723a-e097-4870-a800-3cb838da7d75,"Singapore Residents by Planning Area, Age Group and Sex, June 2008 (Gender) (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,166c56b6-6267-4f2f-b87d-77550d729caa,"Singapore Residents by Planning Area, Age Group and Sex, June 2009 (Female)",09/12/2016,09/12/2016,"Distribution of the resident population (Female) by planning area based on URA MP08, age group and sex, June 2009",Adhoc,na,na,2c0a60bf-4e2b-4006-b640-a9cd2a05f614,"Singapore Residents by Planning Area, Age Group and Sex, June 2009 (Female) (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,166c56b6-6267-4f2f-b87d-77550d729caa,"Singapore Residents by Planning Area, Age Group and Sex, June 2009 (Female)",09/12/2016,09/12/2016,"Distribution of the resident population (Female) by planning area based on URA MP08, age group and sex, June 2009",Adhoc,na,na,cc9e26b9-54be-4c7a-bc4b-d6b735287ec2,"Singapore Residents by Planning Area, Age Group and Sex, June 2009 (Female) (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,3f3cc8f6-978d-48e7-9d62-412a02dd8345,"Singapore Residents by Planning Area, Age Group and Sex, June 2009 (Male)",09/12/2016,09/12/2016,"Distribution of the resident population (Male) by planning area based on URA MP08, age group and sex, June 2009",Adhoc,na,na,784d7928-f955-4a4e-8491-8fe32922156b,"Singapore Residents by Planning Area, Age Group and Sex, June 2009 (Male) (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,3f3cc8f6-978d-48e7-9d62-412a02dd8345,"Singapore Residents by Planning Area, Age Group and Sex, June 2009 (Male)",09/12/2016,09/12/2016,"Distribution of the resident population (Male) by planning area based on URA MP08, age group and sex, June 2009",Adhoc,na,na,82f82960-d4ff-45bf-a0a2-8ce6066203a8,"Singapore Residents by Planning Area, Age Group and Sex, June 2009 (Male) (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,91e2de43-481d-47a8-8045-0c25d40c7fbc,"Singapore Residents by Planning Area, Age Group and Sex, June 2008 (Male)",09/12/2016,09/12/2016,"Distribution of the resident population (Male) by planning area based on URA MP08, age group and sex, June 2008",Adhoc,na,na,c4eaaa99-ea3e-41c5-93f3-0eccf3fbf672,"Singapore Residents by Planning Area, Age Group and Sex, June 2008 (Male) (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,91e2de43-481d-47a8-8045-0c25d40c7fbc,"Singapore Residents by Planning Area, Age Group and Sex, June 2008 (Male)",09/12/2016,09/12/2016,"Distribution of the resident population (Male) by planning area based on URA MP08, age group and sex, June 2008",Adhoc,na,na,224c82b4-b722-48a7-9058-02b0da5ed4cd,"Singapore Residents by Planning Area, Age Group and Sex, June 2008 (Male) (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,27694148-66c8-4911-9343-9411382f84e3,"Singapore Residents by Planning Area, Age Group and Sex, June 2009 (Gender)",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP08, age group and sex, June 2009",Adhoc,na,na,f2b5acb5-7396-4a20-bf69-8f2d336c7662,"Singapore Residents by Planning Area, Age Group and Sex, June 2009 (Gender) (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,27694148-66c8-4911-9343-9411382f84e3,"Singapore Residents by Planning Area, Age Group and Sex, June 2009 (Gender)",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP08, age group and sex, June 2009",Adhoc,na,na,35bc8d30-8573-401a-98cc-bc30aa3769b7,"Singapore Residents by Planning Area, Age Group and Sex, June 2009 (Gender) (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,26537def-9800-4fd8-8e90-0d215cbd3f36,"Singapore Residents by Planning Area, Age Group and Sex, June 2010 (Gender)",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP08, age group and sex, June 2010",Adhoc,na,na,1d6bd4a2-21f3-4dd5-928b-8984532c8d73,"Singapore Residents by Planning Area, Age Group and Sex, June 2010 (Gender) (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,26537def-9800-4fd8-8e90-0d215cbd3f36,"Singapore Residents by Planning Area, Age Group and Sex, June 2010 (Gender)",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP08, age group and sex, June 2010",Adhoc,na,na,5e534f5f-2aeb-495b-a4ac-fe3e556bf685,"Singapore Residents by Planning Area, Age Group and Sex, June 2010 (Gender) (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,1593fa4c-cd3d-4009-8910-93e9ec6be6b2,"Singapore Residents by Planning Area, Age Group and Sex, June 2010 (Male)",09/12/2016,09/12/2016,"Distribution of the resident population (Male) by planning area based on URA MP08, age group and sex, June 2010",Adhoc,na,na,0f8b639d-7d9e-458e-8323-c1a1b38b7da2,"Singapore Residents by Planning Area, Age Group and Sex, June 2010 (Male) (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,1593fa4c-cd3d-4009-8910-93e9ec6be6b2,"Singapore Residents by Planning Area, Age Group and Sex, June 2010 (Male)",09/12/2016,09/12/2016,"Distribution of the resident population (Male) by planning area based on URA MP08, age group and sex, June 2010",Adhoc,na,na,8a1792f6-936c-41d1-8913-b6b12f2a9e02,"Singapore Residents by Planning Area, Age Group and Sex, June 2010 (Male) (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,1ca106eb-1a2f-4b21-97e6-ffb9a73b5934,"Singapore Residents by Planning Area, Age Group and Sex, June 2011 (Female)",09/12/2016,09/12/2016,"Distribution of the resident population (Female) by planning area based on URA MP14, age group and sex, June 2011",Adhoc,na,na,6f6e23d5-e10e-48a5-b7ee-3545dfeb454f,"Singapore Residents by Planning Area, Age Group and Sex, June 2011 (Female) (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,1ca106eb-1a2f-4b21-97e6-ffb9a73b5934,"Singapore Residents by Planning Area, Age Group and Sex, June 2011 (Female)",09/12/2016,09/12/2016,"Distribution of the resident population (Female) by planning area based on URA MP14, age group and sex, June 2011",Adhoc,na,na,bbba60c5-0d64-4be0-acf2-5c96d81b403d,"Singapore Residents by Planning Area, Age Group and Sex, June 2011 (Female) (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,ccdb862e-6eb1-4534-ad9b-9d3faf736a79,"Singapore Residents by Planning Area, Age Group and Sex, June 2011 (Gender)",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP14, age group and sex, June 2011",Adhoc,na,na,9bf980e3-5f33-4410-a2ae-bd2a8df14805,"Singapore Residents by Planning Area, Age Group and Sex, June 2011 (Gender) (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,ccdb862e-6eb1-4534-ad9b-9d3faf736a79,"Singapore Residents by Planning Area, Age Group and Sex, June 2011 (Gender)",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP14, age group and sex, June 2011",Adhoc,na,na,f2cd78f8-8e28-4b25-a365-7205b76a2095,"Singapore Residents by Planning Area, Age Group and Sex, June 2011 (Gender) (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,dd5c5a51-fad1-4f88-89a2-e2ab28eddfbf,"Singapore Residents by Planning Area, Age Group and Sex, June 2012 (Male)",09/12/2016,09/12/2016,"Distribution of the resident population (Male) by planning area based on URA MP14, age group and sex, June 2012",Adhoc,na,na,9d68cec6-33eb-4097-8639-407fcc1da193,"Singapore Residents by Planning Area, Age Group and Sex, June 2012 (Male) (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,dd5c5a51-fad1-4f88-89a2-e2ab28eddfbf,"Singapore Residents by Planning Area, Age Group and Sex, June 2012 (Male)",09/12/2016,09/12/2016,"Distribution of the resident population (Male) by planning area based on URA MP14, age group and sex, June 2012",Adhoc,na,na,370fd16f-7764-4987-91cd-c4f856402b8e,"Singapore Residents by Planning Area, Age Group and Sex, June 2012 (Male) (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,60ca5b98-ee11-4b16-879c-425c575f7bd0,"Singapore Residents by Planning Area, Age Group and Sex, June 2012 (Gender)",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP14, age group and sex, June 2012",Adhoc,na,na,3b763dd0-570c-492b-85d3-6b0cf4ac4c86,"Singapore Residents by Planning Area, Age Group and Sex, June 2012 (Gender) (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,60ca5b98-ee11-4b16-879c-425c575f7bd0,"Singapore Residents by Planning Area, Age Group and Sex, June 2012 (Gender)",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP14, age group and sex, June 2012",Adhoc,na,na,fcccd2b7-b68a-49f1-9043-832dc03d5470,"Singapore Residents by Planning Area, Age Group and Sex, June 2012 (Gender) (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,86aeb3c1-50f1-425b-8461-a10fef80abe2,"Singapore Residents by Planning Area, Age Group and Sex, June 2011 (Male)",09/12/2016,09/12/2016,"Distribution of the resident population (Male) by planning area based on URA MP14, age group and sex, June 2011",Adhoc,na,na,7b045acd-9668-48a0-878d-6584ab35059b,"Singapore Residents by Planning Area, Age Group and Sex, June 2011 (Male) (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,86aeb3c1-50f1-425b-8461-a10fef80abe2,"Singapore Residents by Planning Area, Age Group and Sex, June 2011 (Male)",09/12/2016,09/12/2016,"Distribution of the resident population (Male) by planning area based on URA MP14, age group and sex, June 2011",Adhoc,na,na,d9ecf4d1-b3b9-497d-b005-eebe9edaa100,"Singapore Residents by Planning Area, Age Group and Sex, June 2011 (Male) (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,1b562212-4cf3-47e4-8d91-1d9d6725f1d4,"Singapore Residents by Planning Area, Age Group and Sex, June 2013 (Gender)",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP14, age group and sex, June 2013",Adhoc,na,na,b5228cd4-8e77-4210-8e25-9e2f62126313,"Singapore Residents by Planning Area, Age Group and Sex, June 2013 (Gender) (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,1b562212-4cf3-47e4-8d91-1d9d6725f1d4,"Singapore Residents by Planning Area, Age Group and Sex, June 2013 (Gender)",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP14, age group and sex, June 2013",Adhoc,na,na,14812993-221d-40c8-abaa-9f2282fd1650,"Singapore Residents by Planning Area, Age Group and Sex, June 2013 (Gender) (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,70f23321-6a47-4464-8574-77023b1c7862,"Singapore Residents by Planning Area, Age Group and Sex, June 2014 (Female)",09/12/2016,09/12/2016,"Distribution of the resident population (Female) by planning area based on URA MP14, age group and sex, June 2014",Adhoc,na,na,96934125-9033-4084-a9c0-a6b4b9cc8cc6,"Singapore Residents by Planning Area, Age Group and Sex, June 2014 (Female) (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,70f23321-6a47-4464-8574-77023b1c7862,"Singapore Residents by Planning Area, Age Group and Sex, June 2014 (Female)",09/12/2016,09/12/2016,"Distribution of the resident population (Female) by planning area based on URA MP14, age group and sex, June 2014",Adhoc,na,na,63e450fc-c202-4bb7-b381-993f52d3cc0f,"Singapore Residents by Planning Area, Age Group and Sex, June 2014 (Female) (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,29fde0de-59d6-427c-b269-77896a068c5c,"Singapore Residents by Planning Area, Age Group and Sex, June 2013 (Female)",09/12/2016,09/12/2016,"Distribution of the resident population (Female) by planning area based on URA MP14, age group and sex, June 2013",Adhoc,na,na,a681addd-efa5-4ac5-b047-55d18b97d668,"Singapore Residents by Planning Area, Age Group and Sex, June 2013 (Female) (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,29fde0de-59d6-427c-b269-77896a068c5c,"Singapore Residents by Planning Area, Age Group and Sex, June 2013 (Female)",09/12/2016,09/12/2016,"Distribution of the resident population (Female) by planning area based on URA MP14, age group and sex, June 2013",Adhoc,na,na,8b2d3d03-1c08-4b73-90cb-9059d23d2281,"Singapore Residents by Planning Area, Age Group and Sex, June 2013 (Female) (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,f69cee02-c9c5-4028-84dc-10f25a81b5c1,"Singapore Residents by Planning Area, Age Group and Sex, June 2010 (Female)",09/12/2016,09/12/2016,"Distribution of the resident population (Female) by planning area based on URA MP08, age group and sex, June 2010",Adhoc,na,na,0c70d688-4261-42b2-b7be-4b9597d7f9ee,"Singapore Residents by Planning Area, Age Group and Sex, June 2010 (Female) (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,f69cee02-c9c5-4028-84dc-10f25a81b5c1,"Singapore Residents by Planning Area, Age Group and Sex, June 2010 (Female)",09/12/2016,09/12/2016,"Distribution of the resident population (Female) by planning area based on URA MP08, age group and sex, June 2010",Adhoc,na,na,cfeb4954-014a-41a0-b86c-804412681615,"Singapore Residents by Planning Area, Age Group and Sex, June 2010 (Female) (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,7c4d4a67-a9ea-439a-aa86-e5cd0090f1ff,"Singapore Residents by Planning Area, Age Group and Sex, June 2014 (Gender)",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP14, age group and sex, June 2014",Adhoc,na,na,2928658b-0602-4c4c-b0b6-ba81b2a17f23,"Singapore Residents by Planning Area, Age Group and Sex, June 2014 (Gender) (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,7c4d4a67-a9ea-439a-aa86-e5cd0090f1ff,"Singapore Residents by Planning Area, Age Group and Sex, June 2014 (Gender)",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP14, age group and sex, June 2014",Adhoc,na,na,7e23813d-316a-4aab-a717-13b8d289df14,"Singapore Residents by Planning Area, Age Group and Sex, June 2014 (Gender) (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,d363408d-6b7c-4b15-8225-e858eaf92604,"Singapore Residents by Planning Area, Age Group and Sex, June 2014 (Male)",09/12/2016,09/12/2016,"Distribution of the resident population (Male) by planning area based on URA MP14, age group and sex, June 2014",Adhoc,na,na,32062e0a-d54f-41b0-9b3a-31ea5e8edad5,"Singapore Residents by Planning Area, Age Group and Sex, June 2014 (Male) (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,d363408d-6b7c-4b15-8225-e858eaf92604,"Singapore Residents by Planning Area, Age Group and Sex, June 2014 (Male)",09/12/2016,09/12/2016,"Distribution of the resident population (Male) by planning area based on URA MP14, age group and sex, June 2014",Adhoc,na,na,924cf60b-4452-4bcc-b5e5-fffd7dd5efc6,"Singapore Residents by Planning Area, Age Group and Sex, June 2014 (Male) (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,8169ba95-7c04-42ef-abd1-19f19f689455,"Singapore Residents by Planning Area, Age Group and Sex, June 2015 (Gender)",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP14, age group and sex, Jun 2015",Adhoc,na,na,c5c15e8c-9009-4b52-8bee-8af120128851,"Singapore Residents by Planning Area, Age Group and Sex, June 2015 (Gender) (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,8169ba95-7c04-42ef-abd1-19f19f689455,"Singapore Residents by Planning Area, Age Group and Sex, June 2015 (Gender)",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP14, age group and sex, Jun 2015",Adhoc,na,na,6bc9befd-6e90-4c63-b000-09e2eec980d1,"Singapore Residents by Planning Area, Age Group and Sex, June 2015 (Gender) (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,b84d5a02-43a2-4ef4-9674-57dbe387e5c9,"Singapore Residents by Planning Area, Age Group and Sex, June 2015 (Male)",09/12/2016,09/12/2016,"Distribution of the resident population(Male) by planning area based on URA MP14, age group and sex, Jun 2015",Adhoc,na,na,8bead7f6-38da-4858-9a04-92bd7238c6fb,"Singapore Residents by Planning Area, Age Group and Sex, June 2015 (Male) (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,b84d5a02-43a2-4ef4-9674-57dbe387e5c9,"Singapore Residents by Planning Area, Age Group and Sex, June 2015 (Male)",09/12/2016,09/12/2016,"Distribution of the resident population(Male) by planning area based on URA MP14, age group and sex, Jun 2015",Adhoc,na,na,d757c92a-d8de-4ffc-9dc5-d5a40e66d0de,"Singapore Residents by Planning Area, Age Group and Sex, June 2015 (Male) (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,9f6af799-0913-4c33-bc80-d28b60857da2,"Singapore Residents by Planning Area, Age Group and Sex, June 2016 (Gender)",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP14, age group and sex, Jun 2016",Adhoc,na,na,c28b6c30-87b7-4203-8879-be3be9787b27,"Singapore Residents by Planning Area, Age Group and Sex, June 2016 (Gender) (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,9f6af799-0913-4c33-bc80-d28b60857da2,"Singapore Residents by Planning Area, Age Group and Sex, June 2016 (Gender)",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP14, age group and sex, Jun 2016",Adhoc,na,na,a44acb4b-6472-4293-88cf-fd52e84d04e4,"Singapore Residents by Planning Area, Age Group and Sex, June 2016 (Gender) (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,a8b8db20-c754-430c-b9de-f59326fa7d3c,"Singapore Residents by Planning Area, Age Group and Sex, June 2016 (Female)",09/12/2016,09/12/2016,"Distribution of the resident population (Female) by planning area based on URA MP14, age group and sex, Jun 2016",Adhoc,na,na,1bc80475-420a-4306-b1e0-b348b0642996,"Singapore Residents by Planning Area, Age Group and Sex, June 2016 (Female) (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,a8b8db20-c754-430c-b9de-f59326fa7d3c,"Singapore Residents by Planning Area, Age Group and Sex, June 2016 (Female)",09/12/2016,09/12/2016,"Distribution of the resident population (Female) by planning area based on URA MP14, age group and sex, Jun 2016",Adhoc,na,na,51819255-0700-4bc8-b3c9-3cea60d51683,"Singapore Residents by Planning Area, Age Group and Sex, June 2016 (Female) (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,f276b627-0029-42e6-acfd-48c42e4ae90f,"Singapore Residents by Planning Area, Age Group and Sex, June 2015 (Female)",09/12/2016,09/12/2016,"Distribution of the resident population (Female) by planning area based on URA MP14, age group and sex, Jun 2015",Adhoc,na,na,37976465-19f0-4352-87e9-8a471fff45c4,"Singapore Residents by Planning Area, Age Group and Sex, June 2015 (Female) (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,f276b627-0029-42e6-acfd-48c42e4ae90f,"Singapore Residents by Planning Area, Age Group and Sex, June 2015 (Female)",09/12/2016,09/12/2016,"Distribution of the resident population (Female) by planning area based on URA MP14, age group and sex, Jun 2015",Adhoc,na,na,bd854791-4bcd-4a0e-b745-180ec77764c1,"Singapore Residents by Planning Area, Age Group and Sex, June 2015 (Female) (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,dcfb41f9-2bf1-40aa-9e82-561c804c77ac,"Singapore Residents by Planning Area, Age Group and Sex, June 2016 (Male)",09/12/2016,09/12/2016,"Distribution of the resident population(Male) by planning area based on URA MP14, age group and sex, Jun 2016",Adhoc,na,na,a65357e3-bcc6-4b97-8d5e-80182d5e9f14,"Singapore Residents by Planning Area, Age Group and Sex, June 2016 (Male) (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,dcfb41f9-2bf1-40aa-9e82-561c804c77ac,"Singapore Residents by Planning Area, Age Group and Sex, June 2016 (Male)",09/12/2016,09/12/2016,"Distribution of the resident population(Male) by planning area based on URA MP14, age group and sex, Jun 2016",Adhoc,na,na,a6afecac-f28a-4408-991c-9366c5b17eb4,"Singapore Residents by Planning Area, Age Group and Sex, June 2016 (Male) (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,a03dfc75-1798-4258-93f4-f760d0f34d86,"Singapore Residents by Planning Area, Age Group and Sex, June 2013 (Male)",09/12/2016,09/12/2016,"Distribution of the resident population (Male) by planning area based on URA MP14, age group and sex, June 2013",Adhoc,na,na,61142aff-2b92-48c6-9d41-063aba609ddd,"Singapore Residents by Planning Area, Age Group and Sex, June 2013 (Male) (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,a03dfc75-1798-4258-93f4-f760d0f34d86,"Singapore Residents by Planning Area, Age Group and Sex, June 2013 (Male)",09/12/2016,09/12/2016,"Distribution of the resident population (Male) by planning area based on URA MP14, age group and sex, June 2013",Adhoc,na,na,ad7cc71b-80f7-4191-a8c0-6f678cd75c0d,"Singapore Residents by Planning Area, Age Group and Sex, June 2013 (Male) (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,1749fe0a-d2aa-40c7-9dfa-2dd5cdbb14f3,"Singapore Residents by Planning Area and Type of Dwelling, June 2001",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP08 and type of dwelling, June 2001",Adhoc,na,na,3618402e-d957-48d1-9f4a-c9fd1d5a6d60,"Singapore Residents by Planning Area and Type of Dwelling, June 2001 (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,1749fe0a-d2aa-40c7-9dfa-2dd5cdbb14f3,"Singapore Residents by Planning Area and Type of Dwelling, June 2001",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP08 and type of dwelling, June 2001",Adhoc,na,na,fbc8268d-f21d-4ef8-aa7c-05d97edc5a64,"Singapore Residents by Planning Area and Type of Dwelling, June 2001 (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,1b9ccecc-36a8-4957-bca3-f7089143d419,"Singapore Residents by Planning Area and Type of Dwelling, June 2000",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP98 and type of dwelling, June 2000",Adhoc,na,na,22fbb81c-c098-4f92-b929-8404697d2909,"Singapore Residents by Planning Area and Type of Dwelling, June 2000 (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,1b9ccecc-36a8-4957-bca3-f7089143d419,"Singapore Residents by Planning Area and Type of Dwelling, June 2000",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP98 and type of dwelling, June 2000",Adhoc,na,na,5b93f720-fd69-4d9d-9694-289336c5a907,"Singapore Residents by Planning Area and Type of Dwelling, June 2000 (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,d1e9aaf7-c3ea-41cf-8493-e3c8ca4b00f5,"Singapore Residents by Planning Area and Type of Dwelling, June 2002",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP08 and type of dwelling, June 2002",Adhoc,na,na,0f758d0b-c973-4d17-963d-1ea8410e6baf,"Singapore Residents by Planning Area and Type of Dwelling, June 2002 (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,d1e9aaf7-c3ea-41cf-8493-e3c8ca4b00f5,"Singapore Residents by Planning Area and Type of Dwelling, June 2002",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP08 and type of dwelling, June 2002",Adhoc,na,na,bbc34959-65c5-4278-85c6-8c25b52ba842,"Singapore Residents by Planning Area and Type of Dwelling, June 2002 (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,e13a65af-722e-4b7f-a55a-d3d6268f0d2f,"Singapore Residents by Planning Area and Type of Dwelling, June 2004",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP08 and type of dwelling, June 2004",Adhoc,na,na,6e59887e-7811-45de-9994-1c93926d12b8,"Singapore Residents by Planning Area and Type of Dwelling, June 2004 (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,e13a65af-722e-4b7f-a55a-d3d6268f0d2f,"Singapore Residents by Planning Area and Type of Dwelling, June 2004",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP08 and type of dwelling, June 2004",Adhoc,na,na,fa283780-fe50-4def-bc89-3f092beb5c11,"Singapore Residents by Planning Area and Type of Dwelling, June 2004 (SHP)",na,SHP
